месяц,показатель,значение_CRM,значение_финансы,значение_производство,единица
2026-01,выручка_млн,38.2,37.9,,млн_руб
2026-02,выручка_млн,39.0,38.5,,млн_руб
2026-03,выручка_млн,41.1,40.2,,млн_руб
2026-04,выручка_млн,40.0,39.1,,млн_руб
2026-05,выручка_млн,42.5,41.0,,млн_руб
2026-06,выручка_млн,40.5,39.8,,млн_руб
2026-01,дебиторка_дней,44,45,,дни
2026-02,дебиторка_дней,43,45,,дни
2026-03,дебиторка_дней,42,44,,дни
2026-04,дебиторка_дней,43,46,,дни
2026-05,дебиторка_дней,44,47,,дни
2026-06,дебиторка_дней,44,48,,дни
2026-06,маржа_процент,15,12,,процент
2026-06,запас_К-12_недель,,,2,недели
2026-06,OEE_процент,,,61,процент
