номер_заказа,дата,код_клиента,менеджер_id,код_товара,количество,сумма_руб,статус,система
SO-1001,2026-06-03,C-URAL,E008,ASM-100,20,8200000,выигран,CRM
SO-1002,2026-06-05,C-SIB,E008,ASM-100,15,6100000,выигран,CRM
SO-1003,2026-06-08,C-TECH,E009,ASM-200,8,5400000,выигран,CRM
SO-1004,2026-06-10,C-VOLGA,E009,ASM-100,12,4800000,выигран,CRM
SO-1005,2026-06-12,C-BETA,E010,ASM-100,10,3900000,выигран,CRM
SO-1006,2026-06-15,C-URAL,E008,ASM-200,6,5100000,выигран,CRM
SO-1007,2026-06-18,C-SIB,E008,ASM-100,7,2800000,выигран,CRM
SO-1008,2026-06-20,C-ALFA,E008,ASM-100,25,9000000,проигран,CRM
SO-1009,2026-06-22,C-TECH,E009,ASM-100,5,2100000,выигран,CRM
SO-1010,2026-06-25,C-BETA,E010,ASM-200,4,2100000,выигран,CRM
