ресурс,путь,роль,доступ
отчёт_финансы_v2,03-Отчеты/финансы/версия_2/Отчет_финансы_июнь.md,Финдиректор,чтение
отчёт_финансы_v2,03-Отчеты/финансы/версия_2/Отчет_финансы_июнь.md,Гендиректор,чтение
отчёт_финансы_v2,03-Отчеты/финансы/версия_2/Отчет_финансы_июнь.md,Комдиректор,запрет
отчёт_финансы_v2,03-Отчеты/финансы/версия_2/Отчет_финансы_июнь.md,Менеджер_продаж,запрет
вилки_окладов,10-Кадры/вилки_окладов.md,HR,чтение
вилки_окладов,10-Кадры/вилки_окладов.md,Финдиректор,чтение
вилки_окладов,10-Кадры/вилки_окладов.md,Начальник_склада,запрет
вилки_окладов,10-Кадры/вилки_окладов.md,Менеджер_продаж,запрет
договор_Альянс,07-Договоры/Альянс_Сервис/,Финдиректор,чтение
договор_Альянс,07-Договоры/Альянс_Сервис/,Гендиректор,чтение
договор_Альянс,07-Договоры/Альянс_Сервис/,Бухгалтер,чтение
договор_Альянс,07-Договоры/Альянс_Сервис/,Комдиректор,запрет
план_производства,03-Отчеты/производство/,Директор_производства,чтение
план_производства,03-Отчеты/производство/,Гендиректор,чтение
план_производства,03-Отчеты/производство/,Менеджер_продаж,запрет
реестр_платежей,04-Таблицы/реестр_платежей.csv,Финдиректор,чтение
реестр_платежей,04-Таблицы/реестр_платежей.csv,Бухгалтер,чтение
реестр_платежей,04-Таблицы/реестр_платежей.csv,Менеджер_продаж,запрет
выгрузка_CRM,04-Таблицы/продажи_заказы.csv,Комдиректор,чтение
выгрузка_CRM,04-Таблицы/продажи_заказы.csv,Менеджер_продаж,чтение
выгрузка_CRM,04-Таблицы/продажи_заказы.csv,Начальник_склада,запрет
